Company Name,Address,Phone,Business Type
Walton,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A, Dhaka- 1229, Bangladesh",+880-2-8809606-555555,Air Conditioner & Air Cooler Distributor & Service center
Walton Hi-Tech Ind. Ltd.,"House # I-65/2, Ward # 07, Chandra, Kaliakoir Pourashava, Kaliakoir, Gazipur, Bangladesh",+88-01678-000455,Computer Sales & Distributor
WALTON INTERNATIONAL LTD.,"1 Shaheed Tajuddin Ahmed Sarani (1st floor), Dhaka- 1219, Bangladesh","+88-02-9348672, 8363726, 01715089855",Tour Operators & Promoters
Walton Micro-Tech Corporation.,"House # I-65/2, Ward # 07, Chandra, Kaliakoir Pourashava, Kaliakoir, Gazipur, Bangladesh",+88-01678-000455,Computer Sales & Distributor
Walton Hi-Tech Industries Ltd.,"B-63, Malibagh Chowdhury Para, DIT Road, Dhaka- 1219, Bangladesh",+88-01716-102260,Electrical Goods Dealers & Sellers
Walton Micro-Tech Corporation,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A, Dhaka- 1229, Bangladesh",+880-2-008809606-555555,Voltage Stabilizer
Walton Plus,"B-63, Malibagh Chowdhury Para, DIT Road, Dhaka- 1219, Bangladesh",+88-01716-102260,Electrical Goods Dealers & Sellers
Walton Voltage Stabilizer,"Plot-1088, Block-I, Sabrina Sobhan Road, P.O-Khilkhet, P.S-Vatara, Bashundhara R/A, Dhaka- 1229, Bangladesh",+880-2-008809606-555555,Voltage Stabilizer
Waqfi In-Style,"15/2 Topkhana Road, BMA Bhaban, Room # 304 (2nd Floor), Dhaka- 1000, Bangladesh",+88-01552-424987,Medical Disposable Items
Warsl Surgical,"15/2 Topkhana Road, BMA Bhaban, Room # 304 (2nd Floor), Dhaka- 1000, Bangladesh",+88-01552-424987,Medical Disposable Items
Waqfi Knit Fabrics (Pvt) Ltd.,"Haque Chamber (4th floor) 89/2, West Panthapath, Dhaka- 1205, Bangladesh",+880-2-9111330,Engineering Consultant
Waso Engineers & Consultants (BD) Ltd.,"Haque Chamber (4th floor) 89/2, West Panthapath, Dhaka- 1205, Bangladesh",+880-2-9111330,Engineering Consultant
Water Aid,"14/2, Shantinagar Bazar Raod,, Dhaka- 1000, Bangladesh",+88-01827-213150,Water Filter & Purifier
Warsi Surgical,"Moon Mansion (2nd floor), 12 Dilkusha C/A, Dhaka- 1000, Bangladesh","+880-2-9565568, 9550058, 01711-952674",Transport Contractors / Agents
Water Life,"14/2, Shantinagar Bazar Raod,, Dhaka- 1000, Bangladesh",+88-01827-213150,Water Filter & Purifier
Water Bridge Transport Co.,"Moon Mansion (2nd floor), 12 Dilkusha C/A, Dhaka- 1000, Bangladesh","+880-2-9565568, 9550058, 01711-952674",Transport Contractors / Agents
WATER LINK BANGLADESH,"451, South Bashabo, Sabujbagh, Dhaka- 1214, Bangladesh",+88-01711-135883,Wastewater Treatment Plant & Equipment
Water Logic BD,"Shop-1/41, Shadin Bangla Super Marke, Mirpur-1, Dhaka- 1216, Bangladesh",+88-01911-195633,Water Filter & Purifier
WATER LOGIC BD,"451, South Bashabo, Sabujbagh, Dhaka- 1214, Bangladesh",+88-01711-135883,Wastewater Treatment Plant & Equipment
Water Purifier Service BD–Shop,"87, BNS Center, Dhaka- 1230, Bangladesh",+88-01999-916083,Cleaning Services
Water Pure Technology,"Shop-1/41, Shadin Bangla Super Marke, Mirpur-1, Dhaka- 1216, Bangladesh",+88-01911-195633,Water Filter & Purifier
Water Tank Cleaning Bangladesh,"87, BNS Center, Dhaka- 1230, Bangladesh",+88-01999-916083,Cleaning Services
Water Transport Cell,"220/1 Rokeya Sharani, Taltola, West kafrul, Dhaka- 1216, Bangladesh",+880-2-8156914,Water Treatment Plant & Equipment
Water World Engineering,"House # 36, Road # 2, Block # KA, Section # 6, Mirpur, Dhaka- 1216, Bangladesh","+880-2-9003311, 01712-226670, 01911-014599",Wastewater Treatment Plant & Equipment
Water Treatment & Filter House,"220/1 Rokeya Sharani, Taltola, West kafrul, Dhaka- 1216, Bangladesh",+880-2-8156914,Water Treatment Plant & Equipment
WaterWin Limited,"Garden View, Suite # B-503, 18/1, 19, Garden Road, West Karwan Bazar, Dhaka- 1215, Bangladesh","+88-01713-401520, 01746-120410",Industrial Engineers & Consultant
WaterWin Limited,"House # 36, Road # 2, Block # KA, Section # 6, Mirpur, Dhaka- 1216, Bangladesh","+880-2-9003311, 01712-226670, 01911-014599",Wastewater Treatment Plant & Equipment
WATERWORKS,"Garden View, Suite # B-503, 18/1, 19, Garden Road, West Karwan Bazar, Dhaka- 1215, Bangladesh","+88-01713-401520, 01746-120410",Industrial Engineers & Consultant
WATTSON ENGINEERING & CONSULTANTS LTD,"72, Outer Circular road, Moghbazar, Dhaka- 1217, Bangladesh",+88-01672-663617,Audio Recording Studio
Wav Interior,"66/10 Maulana Bhashani Stadium, Dhaka- 1000, Bangladesh","+880-2-9569913, 9587130, 01718-529469","Electronic Goods Importers, Distributors, Sellers & Suppliers"
Wave Canvas,"72, Outer Circular road, Moghbazar, Dhaka- 1217, Bangladesh",+88-01672-663617,Audio Recording Studio
Wave Digital Technology,"34, Noorjahan Sharif Plaza (1st Floor), Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9567248, 01716-017441","Sign Board, Display & Balloon Neon"
Wave Electronics,"66/10 Maulana Bhashani Stadium, Dhaka- 1000, Bangladesh","+880-2-9569913, 9587130, 01718-529469","Electronic Goods Importers, Distributors, Sellers & Suppliers"
Wave Sign Ltd.,"34, Noorjahan Sharif Plaza (1st Floor), Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9567248, 01716-017441","Sign Board, Display & Balloon Neon"
Wave Tex Apparels Ltd.,"272/B, Elephant Road (1st Floor), Dhaka- 1205, Bangladesh","+880-2-9663735, 9669072, 9663927",Building Decorative Materials
Weavers Furnishing Ltd.,"7, O.R Nizam Road, Parchalisg (Near Parchalish Thana), Chittagong- 4100, Bangladesh","+880-31-654390, 01819-318682",Computer Sales & Distributor
Web Bangladesh Group,"7, O.R Nizam Road, Parchalisg (Near Parchalish Thana), Chittagong- 4100, Bangladesh","+880-31-654390, 01819-318682",Software & Customized Software Solutions
Weavers Furnishing Ltd.,"272/B, Elephant Road (1st Floor), Dhaka- 1205, Bangladesh","+880-2-9663735, 9669072, 9663927",Building Decorative Materials
Web Computer Systems,"7, O.R Nizam Road, Parchalisg (Near Parchalish Thana), Chittagong- 4100, Bangladesh","+880-31-654390, 01819-318682",Computer Sales & Distributor
Web Computer Systems,"7, O.R Nizam Road, Parchalisg (Near Parchalish Thana), Chittagong- 4100, Bangladesh","+880-31-654390, 01819-318682",Software & Customized Software Solutions
Web Valley Computer,"House No : 10 (1st Floor), Road no : 3, Nikonjo - 2, Khilkhat, Dhaka- 1227, Bangladesh","+880-2-8900144, 01714-091656","Web Design, developing & domain-hosting company"
Web World,"Level # 10, Shop # 1012, Multiplan Centre, 69-71 New Elephant Road, Dhaka- 1205, Bangladesh",+88-01711-540756,Computer Sales & Distributor
WebCode Ltd.,"House-37, 1st floor ( B1 ), Road-27, Block-A, Dhaka- 1213, Bangladesh","+88-01975-556633, 01973-311177",Wedding Planners
WebBangladesh.net,"House No : 10 (1st Floor), Road no : 3, Nikonjo - 2, Khilkhat, Dhaka- 1227, Bangladesh","+880-2-8900144, 01714-091656","Web Design, developing & domain-hosting company"
Webcom Systems,"Level # 10, Shop # 1012, Multiplan Centre, 69-71 New Elephant Road, Dhaka- 1205, Bangladesh",+88-01711-540756,Computer Sales & Distributor
Wedding Diary,"House-37, 1st floor ( B1 ), Road-27, Block-A, Dhaka- 1213, Bangladesh","+88-01975-556633, 01973-311177",Wedding Planners
Weekly Protichitra,"185, Elephant Road, Rose View Plaza, Suite 906, Dhaka- 1205, Bangladesh","+88-01923-733585, 01837-997212","Marketing Research, Communication & Services"
Weekly Teen Bangla,"Haque Plaza (2nd Floor), 9, Mohiuddin Lane, Imamgonj, Dhaka- 1211, Bangladesh",+880-2-7313596,"Exporter, Importer & Indentor (Multi Products)"
Welcome International,"185, Elephant Road, Rose View Plaza, Suite 906, Dhaka- 1205, Bangladesh","+88-01923-733585, 01837-997212","Marketing Research, Communication & Services"
Welcome Fashion Ltd.,"149/A DIT Extention Road, Dhaka- 1000, Bangladesh","+88-02-9348613-15, 01711-342345",Travel Agencies (Air Ticketing & others)
Welcome Trade Impex,"Haque Plaza (2nd Floor), 9, Mohiuddin Lane, Imamgonj, Dhaka- 1211, Bangladesh",+880-2-7313596,"Exporter, Importer & Indentor (Multi Products)"
Welcome Travel Agents Ltd.,"149/A DIT Extention Road, Dhaka- 1000, Bangladesh","+88-02-9348613-15, 01711-342345",Travel Agencies (Air Ticketing & others)
Welding Technology in Bangladesh,"Concept Tower (5th floor) 68/69, Green Road, Dhaka- 1205, Bangladesh","+88-02-9674560, 01713-22770",Education Consultant / Representative & Foreign Education Centers
Welfare Knitwear (Pvt) Ltd.,"23, Kakrail, Halimunnesas Court (4th Floor), Dhaka- 1000, Bangladesh","+880-2-9349164, 9353207","Exporter, Importer & Indentor (Multi Products)"
Well Bangladesh Ltd.,"Concept Tower (5th floor) 68/69, Green Road, Dhaka- 1205, Bangladesh","+88-02-9674560, 01713-22770",Education Consultant / Representative & Foreign Education Centers
Welkin Computers,"138/139 Haji Osman Gani Road, Dhaka- 1100, Bangladesh",+88-01713-288975,Fire Detection & Protection System Equipment
Well Fab International,"23, Kakrail, Halimunnesas Court (4th Floor), Dhaka- 1000, Bangladesh","+880-2-9349164, 9353207","Exporter, Importer & Indentor (Multi Products)"
Well Tech Trading Corporation,"138/139 Haji Osman Gani Road, Dhaka- 1100, Bangladesh",+88-01713-288975,Fire Detection & Protection System Equipment
Well Thread Ltd,"70, Nayapaltan, 2nd Floor, Dhaka- 1000, Bangladesh","+88-02-01919-147648, 01979-147648",Manpower Recruiting Agency
Welland Overseas,"House# 28 ( 3rd Floor), Road# 7/C, Sector #09, Uttara, Chittagong- 4216, Bangladesh","+88-01781-623268, 01676-724801, 0963912 6368",Racking System
Welltech Employment Services,"70, Nayapaltan, 2nd Floor, Dhaka- 1000, Bangladesh","+88-02-01919-147648, 01979-147648",Manpower Recruiting Agency
WELTECH BD,"House No. 25, 5th Floor, Road No. 4, Block F, Dhaka- 1213, Bangladesh","+88-02-9863189, 9882653, 9890243, 01911-448837, 01711-289898",Manpower Recruiting Agency
WELTECH BD - Chittagong Office,"House# 28 ( 3rd Floor), Road# 7/C, Sector #09, Uttara, Chittagong- 4216, Bangladesh","+88-01781-623268, 01676-724801, 0963912 6368",Racking System
Wens Travels,"House No. 25, 5th Floor, Road No. 4, Block F, Dhaka- 1213, Bangladesh","+88-02-9863189, 9882653, 9890243, 01911-448837, 01711-289898",Manpower Recruiting Agency
West Bay Inspections Ltd.,"Sumilpara, Adamjee Nagar, Siddirgonj, Narayanganj- 1400, Bangladesh","+880-2-7694445, 7693837, 7691910, 01711-544163",Knit Wears Manufacturers & Exporters [ Knit Garments ]
West Fashion,"2/2, Purana Paltan (Ground Floor), Dhaka- 1000, Bangladesh","+88-01912-042665, 01712-499656",Advertising Agencies / Ad Firms / Out-door advertisement
Western,"Riefles Squre (5th floor), peelkhana, BDR, Dhaka- 1205, Bangladesh","+880-2-8619450, 9674974",Clubs
West Knitwear Ltd.,"Sumilpara, Adamjee Nagar, Siddirgonj, Narayanganj- 1400, Bangladesh","+880-2-7694445, 7693837, 7691910, 01711-544163",Knit Wears Manufacturers & Exporters [ Knit Garments ]
Western Art Publicity,"2/2, Purana Paltan (Ground Floor), Dhaka- 1000, Bangladesh","+88-01912-042665, 01712-499656",Advertising Agencies / Ad Firms / Out-door advertisement
Western Bowling & Fitness Center,"Riefles Squre (5th floor), peelkhana, BDR, Dhaka- 1205, Bangladesh","+880-2-8619450, 9674974",Clubs
Western Bowlion & Fitness Centre,"TCB Bhaban, 10th Floor, 1 Kawran Bazar, Dhaka- 1215, Bangladesh","+880-2-9140982, 55013801-4",Construction Consultants & Engineering Firms
Western Elevator Ltd.,"House-3/A, Road-4, Green Road (Beside Labaid Hospital), Dhaka- 1205, Bangladesh",+88-01712-565220,Restaurant
Western Engineering (Pvt.) Ltd,"TCB Bhaban, 10th Floor, 1 Kawran Bazar, Dhaka- 1215, Bangladesh","+880-2-9140982, 55013801-4",Construction Consultants & Engineering Firms
Western Fashions,"House # 60/D, Road # 131, Gulshan-1, Dhaka- 1212, Bangladesh","+88-02-9858144, 01711-532585, 01919-532585, 01611-532585",Travel Agencies (Air Ticketing & others)
Western Grill,"House-3/A, Road-4, Green Road (Beside Labaid Hospital), Dhaka- 1205, Bangladesh",+88-01712-565220,Restaurant
Western Holiday,"House # 60/D, Road # 131, Gulshan-1, Dhaka- 1212, Bangladesh","+88-02-9858144, 01711-532585, 01919-532585, 01611-532585",Travel Agencies (Air Ticketing & others)
Western Institute of Business and Technology (WIBT),"11/20 Rob Super Market, Gulshan # 2, Dhaka- 1212, Bangladesh","+880-2-9884523, 7517897","Optical Frame & Lenses, Optical Stores"
Western Marine Service Ltd.,"27, Sahid Nazrul Islam Sarak, Hatkhola Road, Russel Center, Shop No. -06, Ground Floor, Dhaka- 1203, Bangladesh","+880-2-7112669, 9578025, 01817-545676, 01741-339084",Scientific Equipment / Instruments / Products
Western Optical,"11/20 Rob Super Market, Gulshan # 2, Dhaka- 1212, Bangladesh","+880-2-9884523, 7517897","Optical Frame & Lenses, Optical Stores"
Western Marine Shipyard Ltd.,"Shahnawaz Bhaban (2nd Floor), Room No 309, 9/C, Motijheel C/A, Dhaka- 1000, Bangladesh","+88-02-7111645, 01920-714480","Consultant - Financial, Corporate Affairs & Legal"
Western Scientific Co,"27, Sahid Nazrul Islam Sarak, Hatkhola Road, Russel Center, Shop No. -06, Ground Floor, Dhaka- 1203, Bangladesh","+880-2-7112669, 9578025, 01817-545676, 01741-339084",Scientific Equipment / Instruments / Products
Western Securities Investment Management Ltd.,"Shahnawaz Bhaban (2nd Floor), Room No 309, 9/C, Motijheel C/A, Dhaka- 1000, Bangladesh","+88-02-7111645, 01920-714480","Consultant - Financial, Corporate Affairs & Legal"
Westmant Power (BD) Ltd.,"87, New Eskaton Road, Home Town A/C Motor Parts Market, Bangla Motor, Dhaka- 1000, Bangladesh","+88-02-58315020, 01715-275978",Motor Parts & Tyre Tube Merchants
Westren Blinds Ltd,"218, Shahara Tropical Center (12th floor), Room # 6, Dhaka- 1205, Bangladesh",+88-01797-442425,Jute Goods Exporters
Wheels & Gears,"87, New Eskaton Road, Home Town A/C Motor Parts Market, Bangla Motor, Dhaka- 1000, Bangladesh","+88-02-58315020, 01715-275978",Motor Parts & Tyre Tube Merchants
White And Tossa,"Akram Tower, 199, Shahid Syed Nazrul Islam Swarani (12 Floor) 15/5, Bijoy Nagar, Dhaka- 1000, Bangladesh","+88-02-9343905, 01615-556999, 01615-556888",Real Estate Firms / Developers
White And Tossa,"218, Shahara Tropical Center (12th floor), Room # 6, Dhaka- 1205, Bangladesh",+88-01797-442425,Jute Goods Exporters
White Castle Holding Ltd.,"Akram Tower, 199, Shahid Syed Nazrul Islam Swarani (12 Floor) 15/5, Bijoy Nagar, Dhaka- 1000, Bangladesh","+88-02-9343905, 01615-556999, 01615-556888",Real Estate Firms / Developers
White Corner,"155, Shantinagar, Dhaka- 1217, Bangladesh","+880-2-832273-6, 8314601, 8314020, 8317579",Hotel & Motel
White House Hotel,"155, Shantinagar, Dhaka- 1217, Bangladesh","+880-2-832273-6, 8314601, 8314020, 8317579",Hotel & Motel
"White Pearl Dental Care, Dhanmondi","House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01841-827875,"Car / Automobile Distributor, Display & Sales Center"
White Window Automobiles DAK,"House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01841-827875,"Car / Automobile Distributor, Display & Sales Center"
White House Hotel,"45, Topkhana Road, Tropicana Tower (3rd Floor), Room No 2/B, Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9513472, 01670-886080",Hajj & Umrah Agents / Package Providers
White Window Interior,"House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01777-719602,Security Services
White Rose International (PVT.) Ltd.,"45, Topkhana Road, Tropicana Tower (3rd Floor), Room No 2/B, Purana Paltan, Dhaka- 1000, Bangladesh","+88-02-9513472, 01670-886080",Hajj & Umrah Agents / Package Providers
White Window Limited,"House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01777-719602,Security Services
White Window Interior,"House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01777-719602,Pest Control
White Window Limited,"11/C (10th Floor), Noakhali Tower, 55/B, Purana Paltan, Dhaka- 1000, Bangladesh","+880-2-9556055, 47114484",Imitation Ornaments
White Window Limited,"House #365, Road #28, Mohakhali DOHS, Dhaka- 1212, Bangladesh",+88-01777-719602,Pest Control
Whitepearl International,"11/C (10th Floor), Noakhali Tower, 55/B, Purana Paltan, Dhaka- 1000, Bangladesh","+880-2-9556055, 47114484",Imitation Ornaments
Whole Export,"252/2D West Katasur, Beribanth, 4 Rastarmor, Mohammadpur, Dhaka- 1207, Bangladesh","+88-01711-305543, 01721-071350, 01720-123664",College
WIBT College,"252/2D West Katasur, Beribanth, 4 Rastarmor, Mohammadpur, Dhaka- 1207, Bangladesh","+88-01711-305543, 01721-071350, 01720-123664",College
WID CRAFT ENTERPRISE,"Shop # 1032, Level # 10, Multiplan Center, Ecs Computer City, 69-71 New Elephant Road, Dhaka- 1205, Bangladesh","+880-2-8624354, 01715-175870",Computer Sales & Distributor
Wide Computers,"Shop # 1032, Level # 10, Multiplan Center, Ecs Computer City, 69-71 New Elephant Road, Dhaka- 1205, Bangladesh","+880-2-8624354, 01715-175870",Computer Sales & Distributor
Wifang Securities Ltd,"85, Kakrail, Ramna, Dhaka- 1000, Bangladesh","+88-02-9331850, 9330703, 01552-451530",College
Wied Ways Enterprise,"National Plaza (5th Floor, Part-B, East Side) Bir Uttam C.R. Dutta Road, 1/G Free School Street, Dhaka- 1205, Bangladesh","+88-02-44612001, 44612000, 01775-289036",Jute (Yarn & Twine)
Willes Little Flower School & College,"85, Kakrail, Ramna, Dhaka- 1000, Bangladesh","+88-02-9331850, 9330703, 01552-451530",College
WILHELM G. CLASEN (BANGLADESH) LTD.,"National Plaza (5th Floor, Part-B, East Side) Bir Uttam C.R. Dutta Road, 1/G Free School Street, Dhaka- 1205, Bangladesh","+88-02-44612001, 44612000, 01775-289036",Jute (Yarn & Twine)
William Agencies,"56, West Panthapath (1st Floor) (Opposite Square Hospital) Dhanmondi, Dhaka- 1000, Bangladesh",+88-01916-048809,Interior Design & Decoration
Wills Sports Wear Ltd.,"House No. 44, Road No. 7, Block F, Dhaka- 1213, Bangladesh","+88-02-9872019, 9872020, 9870382, 01711-520242",Manpower Recruiting Agency
Win Interior Solution Ltd.,"56, West Panthapath (1st Floor) (Opposite Square Hospital) Dhanmondi, Dhaka- 1000, Bangladesh",+88-01916-048809,Interior Design & Decoration
Win International,"House No. 44, Road No. 7, Block F, Dhaka- 1213, Bangladesh","+88-02-9872019, 9872020, 9870382, 01711-520242",Manpower Recruiting Agency
Win Sources Limited,"303, Planet Araf, Zindabazar, Sylhet, Bangladesh",+88-01712-902510,Computer Sales & Distributor
Win Trade International,"21, New Eskaton, Huda Lodge (1st Floor), Apt 204/A, Dhaka- 1219, Bangladesh","+88-02-9341131, 01715-572077",Undefined
Win Trade,"303, Planet Araf, Zindabazar, Sylhet, Bangladesh",+88-01712-902510,Computer Sales & Distributor
Win/Win Trading,"21, New Eskaton, Huda Lodge (1st Floor), Apt 204/A, Dhaka- 1219, Bangladesh","+88-02-9341131, 01715-572077",Undefined
Winchip Computer,"Millennium Castle, House # 47 (8th Floor), Road # 27, Dhaka- 1212, Bangladesh","+88-09612300400, 01713-190001, 01708-888881",Call Center & Outsourcing
Windmill Advertising Limited,"Millennium Castle, House # 47 (8th Floor), Road # 27, Dhaka- 1212, Bangladesh","+88-09612300400, 01713-190001, 01708-888881",Call Center & Outsourcing
Wincom System,"Millennium Castle, House # 47 (8th Floor), Road # 27 Banani, Dhaka- 1213, Bangladesh",+88-01708-888881,Advertising Agencies / Ad Firms / Out-door advertisement
WINDY GROUP,"Safura Tower ( 4th Floor ), 20 Kemal Ataturk Avenue, Banani C/A, Dhaka- 1213, Bangladesh","+880-2-8814003, 9886289, 9894720, 9861818",Travel Agencies (Air Ticketing & others)
Windmill Group,"Millennium Castle, House # 47 (8th Floor), Road # 27 Banani, Dhaka- 1213, Bangladesh",+88-01708-888881,Advertising Agencies / Ad Firms / Out-door advertisement
Wings Air Cargo Ltd.,"Old # 24, New # 12 (4th Floor), Sirajdullah Road, Falpatty, Narayanganj- 1400, Bangladesh",+880-2-7642845,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Wings Classic Tours & Travels Ltd.,"Safura Tower ( 4th Floor ), 20 Kemal Ataturk Avenue, Banani C/A, Dhaka- 1213, Bangladesh","+880-2-8814003, 9886289, 9894720, 9861818",Travel Agencies (Air Ticketing & others)
Winner Apparels,"Old # 24, New # 12 (4th Floor), Sirajdullah Road, Falpatty, Narayanganj- 1400, Bangladesh",+880-2-7642845,Knit Wears Manufacturers & Exporters [ Knit Garments ]
Winner Overseas Ltd.,"Samar Center Building, 33/3, Shahid Nazrul Islam Road (Ground floor), Dhaka- 1203, Bangladesh","+880-2-7119385, 7125624",Scientific Equipment / Instruments / Products
Winner Glass,"51/1, VIP Road, VIP Tower, 9th Floor, Nayapaltan, Dhaka- 1000, Bangladesh","+88-02-9334919, 9336886, 9331389, 8355162, 01711-560306, 01919-999900, 01911-458047",Manpower Recruiting Agency
Winner Scientific Co.,"Samar Center Building, 33/3, Shahid Nazrul Islam Road (Ground floor), Dhaka- 1203, Bangladesh","+880-2-7119385, 7125624",Scientific Equipment / Instruments / Products
Winner Overseas Ltd.,"51/1, VIP Road, VIP Tower, 9th Floor, Nayapaltan, Dhaka- 1000, Bangladesh","+88-02-9334919, 9336886, 9331389, 8355162, 01711-560306, 01919-999900, 01911-458047",Manpower Recruiting Agency
Wins Software,"House-6/7-A, Block-B, Lalmatia, Dhaka- 1207, Bangladesh","+88-02-9891806, 01823-075481, 01550-402140",College
Winsome School & College,"House-6/7-A, Block-B, Lalmatia, Dhaka- 1207, Bangladesh","+88-02-9891806, 01823-075481, 01550-402140",College
Wintel Limited,"Office: 83/B, Siddeswari Circular Road Mouchak Tower (2st Floor), Dhaka- 1217, Bangladesh",+88-01707-372402,Real Estate Firms / Developers
Wintel Limited,"Wiedner Hauptstrasse 63, Box 150, 1045 Vienna, AUSTRIA",(431) 501054439,International Chamber of Commerce
WINTOUC WINTOUCH GROUP,"Office: 83/B, Siddeswari Circular Road Mouchak Tower (2st Floor), Dhaka- 1217, Bangladesh",+88-01707-372402,Real Estate Firms / Developers
Wirschaftskammer Oesterreich (WKO),"Wiedner Hauptstrasse 63, Box 150, 1045 Vienna, AUSTRIA",(431) 501054439,International Chamber of Commerce
Wintrade (Pvt) Ltd.,"Dapa, Idrakpur, Fatullah, Narayanganj- 1421, Bangladesh","+880-2-7671444-9, 01713-435220","Garments Manufacturers & Exporters [ Men, Women & Kids ]"
Wisdom Attires Ltd,"Dapa, Idrakpur, Fatullah, Narayanganj- 1421, Bangladesh","+880-2-7671444-9, 01713-435220","Garments Manufacturers & Exporters [ Men, Women & Kids ]"
Wisdom Attires Ltd,"19 New Eskaton Road (1st Floor), Dhaka- 1000, Bangladesh","+880-2-9338350, 01713-084358",Advertising Agencies / Ad Firms / Out-door advertisement
Wizard Business Communication,"19 New Eskaton Road (1st Floor), Dhaka- 1000, Bangladesh","+880-2-9338350, 01713-084358",Advertising Agencies / Ad Firms / Out-door advertisement
Wisdom Attires Ltd.,"144, Mazar Co-operative Market (1st floor), Mirpur-1, Dhaka- 1216, Bangladesh",+880-2-8050985,Computer Data Entry Industries
Wizard Computers,"144, Mazar Co-operative Market (1st floor), Mirpur-1, Dhaka- 1216, Bangladesh",+880-2-8050985,Computer Data Entry Industries
Womans World Ltd,"61 Suhrawardy Avenue, 1st floor, Dhaka- 1212, Bangladesh",+88-01999-444422,Beauty Parlour
WM Motoes,"61 Suhrawardy Avenue, 1st floor, Baridhara, Dhaka- 1212, Bangladesh","+880-2-9859169, 8832729, 01999-444422",Beauty Parlour
Women's Heart Parlour,"Sheltech Chhayaneer, 148, Green Road, Panthapath Mour, Dhaka- 1205, Bangladesh","+88-01552-455070, 01711-983983",Beauty Parlour
Woman's World,"61 Suhrawardy Avenue, 1st floor, Baridhara, Dhaka- 1212, Bangladesh","+880-2-9859169, 8832729, 01999-444422",Beauty Parlour
Wonder Optics,"1/A, D.I.T. Extension Road, Fakirapool, Dhaka- 1000, Bangladesh","+88-02-7191660, 7812149, 01711-145873",Manpower Recruiting Agency
